id,book_number,book_title,published_date,author_id
,B004BA5852,Swiss Watching: Inside Europe's Landlocked Island,,
,B004BDOV2A,"This Time Forever (Mickelle Book 1, Rebekka Book 1) (Mickelle's)",,
,B004BSGJFW,I'll Follow the Moon â€” 10th Anniversary Collector's Edition,,
,B004C43I68,Rikki-Tikki-Tavi,,
,B004CFA9Q4,When We Were Strangers: A Novel,,
,B004CFAVLC,"Paletas: Authentic Recipes for Mexican Ice Pops, Shaved Ice & Aguas Frescas",,
,B004CFAWB6,The One-Block Feast: An Adventure in Food from Yard to Table,,
,B004CJ817E,The Final Note: A Novel,,
,B004CLYBUI,Surfing the long summer: Volume 1,,
,B004CLYBV2,Get into bed with Google,,
,B004CRSQIU,The Secret Garden by Frances Hodgson Burnett,,
,B004CYERNG,"1,001 Low-Fat Vegetarian Recipes: Delicious, Easy-to-Make, Healthy Meals for Everyone",,
,B004CYF3D4,Simply Suppers: Easy Comfort Food Your Whole Family Will Love,,
,B004D9FGLC,Dangerous Journey,,
,B004D9FUA4,Know Your Bible: All 66 Books Explained and Applied (Value Books),,
,B004DCBC0S,Frommer'sÂ® Montana and Wyoming (Frommer's Complete Guides),,
,B004DI7MQK,Those Crazy Germans!: A Lighthearted Guide to Germany,,
,B004EBT6IS,"The Oxygen Revolution: Hyperbaric Oxygen Therapy: The New Treatment for Post Traumatic Stress Disorder (PTSD), Traumatic Brain Injury, Stroke, Autism and More",,
,B004EENYP6,"Pickles & Relishes: From apples to zucchini, 150 recipes for preserving the harvest",,
,B004EEPK08,Life From Scratch (A Life From Scratch Novel Book 1),,
,B004EHZDBQ,The Golden Acorn: Book 1 (UK EDITION) (The Adventures of Jack Brenin),,
,B004EHZSES,Evergreen A Christmas Tale,,
,B004EHZXVQ,A Tale of Two Cities,,
,B004FEF6EW,Cooking the Roman Way: Authentic Recipes from the Home Cooks and Trattorias of Rome,,
,B004FGMQR0,"Christmas with Family & Friends Cookbook: Favorite recipes, homemade memories and little touches that make the holidays warm & cozy. (Seasonal Cookbook Collection)",,
,B004FGMT8G,"Give Me a Break! Beginning Meditation for Mindfulness, Stress Relief, and Anxiety Management",,
,B004FN21VE,Gingerbread,,
,B004FN2A74,"Southern Pies: A Gracious Plenty of Pie Recipes, From Lemon Chess to Chocolate Pecan",,
,B004FV4TO8,Circle of Friends Cookbook - 25 Chocolate Chip Cookie Recipes,,
,B004GEAL4Q,Exodus Lost,,
,B004GEARG8,My Soul Delighteth in the Scriptures,,
,B004GHNGCW,Realistic Recipes - Volume 1,,
,B004GHNIH0,Walking on Broken Glass,,
,B004GHNIR0,Jane Eyre,,
,B004GHNIRK,Les MisÃ©rables (English language),,
,B004GJW9HI,Running for Mortals: A Commonsense Plan for Changing Your Life With Running,,
,B004GTLVLS,The Italian Slow Cooker: 125 Easy Recipes for the Electric Slow Cooker,,
,B004H4XDBI,"Where She Went (If I Stay, Book 2)",,
,B004H4XKZW,"Practice Makes Perfect German Pronouns and Prepositions, Second Edition (Practice Makes Perfect Series)",,
,B004HD5TV6,Cougar Cub Tales: I'm Just Like You,,
,B004HD61J0,"This Life Is in Your Hands: One Dream, Sixty Acres, and a Family Undone",,
,B004HFS68C,The Kindle LDS Scriptures (Special Kindle Enabled Edition): The Kindle Book of Mormon / The Kindle Doctrine and Covenants / The Kindle Pearl of Great Price ... (ILLUSTRATED) (Latter Day Saints),,
,B004HO5M3U,Bridge To Happiness,,
,B004HW7AFU,A Believing People,,
,B004HZXRG8,That Is That: Essays About True Nature,,
,B004I8VGYE,"The Primal Blueprint: Reprogram your genes for effortless weight loss, vibrant health, and boundless energy (Primal Blueprint Series)",,
,B004I8VGYO,Becoming Odyssa: Adventures on the Appalachian Trail,,
,B004I8WLSO,How To Raise Emotionally Healthy Children: Meeting The Five Critical Needs of Children.and Parents Too! Updated Edition,,
,B004IEA8TM,"Journey to the Edge of the Light: A Story of Love, Leukemia and Transformation (Kindle Single) (Kindle Singles)",,
,B004IK8PFU,"Peter Reinhart's Whole Grain Breads: New Techniques, Extraordinary Flavor",,
,B004IK8PPK,Japanese Hot Pots: Comforting One-Pot Meals,,
,B004IK8Q9A,Crust and Crumb: Master Formulas for Serious Bread Bakers,,
,B004J176B2,"How To Be A Zen Mama, 13 Ways To Let Go, Stop Worrying and Be Closer to Your Kids",,
,B004J4WJZ2,Sisterhood Everlasting (Sisterhood of the Traveling Pants): A Novel (Sisterhood Series Book 5),,
,B004J4WKR4,The Food of Campanile: Recipes from the Famed Los Angeles Restaurant,,
,B004J4X9JW,Perfect Pies: The Best Sweet and Savory Recipes from America's Pie-Baking Champion,,
